time-in-milliseconds,percent-x,percent-y
105,5.38,5.43
113,5.38,5.43
127,5.38,5.71
143,5.38,6.25
160,5.63,7.61
178,6.25,10.33
194,6.88,12.50
209,7.75,15.49
227,8.88,18.48
243,10.75,23.10
261,13.38,29.62
277,17.00,37.23
294,21.50,45.65
310,26.63,54.08
327,32.38,61.96
343,37.88,67.93
360,42.25,71.20
376,45.00,72.28
394,47.13,72.55
410,47.25,72.01
425,47.50,70.65
444,46.63,67.93
461,45.00,63.86
477,42.38,58.15
493,40.50,53.80
511,40.13,51.36
527,40.38,49.18
543,41.38,46.47
560,43.00,43.48
575,45.25,40.22
593,49.75,35.60
610,53.50,33.15
625,57.63,30.98
643,61.12,29.35
660,65.13,27.99
677,69.50,27.45
693,74.75,27.17
710,80.00,27.17
727,84.88,27.72
743,89.00,29.08
759,92.25,30.98
776,94.75,33.97
793,97.88,39.40
810,99.50,43.48
891,99.63,55.71
927,98.00,59.24
943,96.63,60.87
959,95.13,61.96
976,93.13,61.96
992,90.50,61.96
1009,87.25,60.60
1025,86.25,59.51
1043,85.88,58.97
1060,86.00,58.70
1076,86.38,57.88
1093,87.25,57.34
1110,88.38,57.34
1125,89.50,58.15
1142,90.50,59.51
1159,91.63,61.41
1176,92.63,64.40
1192,93.50,67.66
1209,94.25,72.01
1226,94.38,74.73
1243,94.38,76.90
1258,94.13,78.26
1276,93.75,79.35
1293,93.13,80.43
1310,92.75,80.98
1326,92.63,81.52
1342,92.63,82.07
1358,93.25,82.88
1375,93.75,84.24
1392,94.38,85.60
1409,94.88,88.59
1425,95.00,90.76
1442,95.00,93.21
1459,95.25,95.92
1476,95.63,97.83
1493,96.13,99.18
1627,96.88,99.18
1659,96.88,98.37
1675,97.00,98.37
1692,97.13,98.10
1709,97.25,98.10
1726,97.50,98.10
1743,97.63,98.10
1758,97.75,98.10
1775,98.00,98.10
1792,98.25,98.10
1808,98.50,98.10
1825,98.63,98.10
1842,98.63,98.10
1859,98.63,98.10
1875,98.63,98.64
1892,98.63,98.64
1909,98.63,98.91
1937,98.63,98.91
1945,98.63,98.64
1959,98.63,98.64
1975,98.75,98.37
1991,99.13,97.83
2009,99.13,97.83
2025,99.13,97.83
2050,99.25,97.83
2058,99.25,97.83
2451,99.25,98.10
2475,98.88,97.01
2492,98.50,95.65
2507,98.00,94.29
2525,97.25,91.85
2542,96.50,89.13
2558,95.25,86.14
2575,93.75,82.34
2591,91.75,77.99
2607,89.75,73.37
2624,87.25,67.93
2641,83.63,60.60
2657,81.00,55.71
2675,77.88,50.54
2691,74.50,45.38
2709,70.50,39.95
2725,66.13,34.78
2742,61.50,30.16
2758,56.25,25.82
2775,50.88,22.28
2791,45.50,19.57
2808,40.13,17.66
2823,34.75,17.39
2841,28.25,19.57
2858,25.50,22.55
2874,23.38,25.82
2892,22.00,28.26
2908,21.13,30.71
2925,20.75,32.34
2941,20.88,33.42
2959,21.13,34.51
2974,21.25,35.05
2991,21.38,35.60
3007,21.25,36.14
3024,20.63,36.41
3041,18.50,37.23
3057,15.75,37.23
3073,12.88,36.68
3091,10.38,36.14
3107,9.00,35.05
3125,8.38,33.97
3140,8.13,33.15
3157,8.13,32.07
3174,8.38,30.98
3191,8.75,29.89
3207,9.00,29.35
3224,9.13,29.08
3241,9.25,27.72
3257,9.38,25.82
3273,9.38,23.64
3291,9.50,21.20
3307,9.75,18.75
3324,10.25,16.58
3341,10.75,14.40
3358,11.25,12.50
3374,11.75,10.87
3391,12.25,9.51
3406,12.75,8.15
3423,13.13,7.61
3440,13.38,6.79
3457,13.75,6.25
3474,14.00,5.98
3491,14.12,5.98
3507,14.12,5.98
3561,14.12,5.98
3574,14.00,5.98
3590,13.75,5.98
3606,13.50,6.25
3624,13.25,6.25
3640,13.13,6.25
3656,12.88,6.25
3674,12.50,6.25
3690,12.38,5.98
3706,12.13,5.71
3724,11.88,5.43
3740,11.88,5.43
3756,11.88,5.43
