time-in-milliseconds,percent-x,percent-y
106,9.6304,85.0340
539,9.6304,84.9206
555,9.5783,84.9206
572,9.3181,84.8073
588,9.1098,84.4671
605,8.9016,83.6735
622,8.7975,82.4263
638,8.7975,79.9320
654,8.7975,77.6644
672,9.0057,74.6032
688,9.1619,71.4286
704,9.2660,68.1406
721,9.3181,63.2653
738,9.2660,59.9773
754,9.1619,57.0295
771,9.1619,54.0816
787,9.3701,51.3605
805,9.6304,48.5261
821,9.7345,45.6916
837,9.8386,43.0839
854,9.8386,40.7029
872,9.8386,38.6621
887,9.8386,36.9615
904,9.8386,35.0340
921,9.8386,32.5397
937,9.7345,30.9524
955,9.6304,29.4785
970,9.5783,27.5510
988,9.4742,25.6236
1004,9.3181,23.9229
1021,9.2660,22.1088
1037,9.1098,20.0680
1054,8.9016,17.8005
1070,8.6413,15.1927
1087,8.2769,12.6984
1104,7.9125,10.3175
1120,7.2879,7.4830
1137,6.9235,6.1224
1154,6.5070,4.5351
1170,6.1426,3.2880
1187,5.8824,2.3810
1203,5.7782,2.1542
1220,5.7262,2.0408
1237,5.7262,2.0408
1287,5.7262,2.1542
1304,5.7262,2.1542
1320,5.7262,2.8345
1337,5.6741,3.1746
1354,5.6221,3.4014
1371,5.5700,3.5147
1587,5.6741,3.5147
1603,5.8824,3.5147
1620,6.1426,3.5147
1636,6.5070,3.6281
1653,7.0276,3.7415
1670,7.7043,3.8549
1687,8.4331,3.9683
1704,9.3181,3.9683
1719,10.3592,4.1950
1737,12.2332,4.4218
1753,13.7428,4.4218
1770,15.3045,4.5351
1787,17.0744,4.6485
1804,19.0526,4.7619
1821,21.1348,4.8753
1837,23.4774,4.9887
1853,25.6637,5.1020
1870,27.7980,5.1020
1887,30.2447,5.2154
1903,32.4310,5.2154
1920,34.5653,5.2154
1937,38.0531,5.2154
1954,40.2395,4.9887
1969,42.3738,4.8753
1986,44.6122,4.7619
2003,46.7985,4.5351
2020,49.4014,4.1950
2036,51.7959,3.7415
2053,53.9302,3.5147
2069,55.9604,3.1746
2086,57.7824,2.9478
2103,59.7085,2.8345
2120,61.8428,2.6077
2136,63.7168,2.4943
2152,66.3717,2.4943
2171,68.0375,2.3810
2186,69.6512,2.3810
2203,71.1609,2.3810
2219,72.7746,2.3810
2236,74.4404,2.2676
2254,76.2624,2.0408
2269,77.9282,1.9274
2287,79.5940,1.7007
2303,81.3118,1.5873
2319,82.8214,1.4739
2336,84.3831,1.4739
2353,86.6216,1.4739
2370,88.0271,1.4739
2387,89.3805,1.4739
2403,90.7340,1.4739
2420,92.0354,1.7007
2436,93.2327,1.8141
2453,94.2218,2.0408
2469,95.1067,2.2676
2486,95.9396,2.3810
2503,96.5643,2.4943
2520,97.0849,2.7211
2535,97.3451,2.9478
2553,97.3972,3.0612
2570,97.3972,3.1746
2586,97.3972,3.6281
2602,97.3972,3.7415
2619,97.3972,4.0816
2636,97.3972,4.1950
2653,97.3972,4.1950
2753,97.3972,4.0816
2769,97.3972,4.0816
2785,97.3972,3.9683
2803,97.3972,3.9683
2819,97.3972,3.9683
2953,97.3451,3.9683
2970,97.2931,4.0816
3003,96.6684,4.9887
3019,95.9917,6.0091
3035,94.5341,8.1633
3052,93.2327,9.9773
3102,88.8079,15.8730
3119,87.4024,18.2540
3136,85.9448,20.2948
3152,84.4872,22.4490
3168,82.9776,24.8299
3185,80.7913,28.3447
3202,79.4378,30.8390
3219,77.9802,33.2200
3235,76.4706,35.3741
3252,75.0130,37.5283
3269,73.6075,39.6825
3286,72.3581,41.7234
3302,71.0047,43.8776
3319,69.7033,45.9184
3336,68.5060,47.8458
3352,67.3607,49.6599
3368,66.1635,51.1338
3385,64.3935,54.0816
3401,63.2483,55.6689
3418,62.1031,57.2562
3435,61.0619,59.1837
3452,60.0208,60.8844
